,mape,rmse,mse
2,2.9874631308075332,1668.495107419776,2783875.9234837303
5,2.9950867970722035,1658.155832609858,2749480.765218091
10,3.049990623926328,1640.9520441085222,2692723.611063937
15,3.0454092441623244,1647.8950512462593,2715558.0999219115
20,3.0461197823404356,1646.193046606572,2709951.546695827
25,3.0289943051901593,1635.61732569484,2675244.03611314
35,3.0182364317219084,1639.02482672778,2686402.382630029
50,3.050615607011927,1648.2546377570427,2716743.3508876
75,3.0039861949164104,1634.8721946570163,2672807.092862649
100,3.1048241289756127,1641.4204596430081,2694261.1253346642
150,3.234241028765344,1741.2144210433462,3031827.6600493155
200,3.2412802248374715,1733.8968577247258,3006398.313227678
