,mape,rmse,mse
2,2.662087878186379,1192.1168908407217,1421142.681427749
5,2.7411795798136596,1178.8689578458834,1389732.019772639
10,2.821927336716971,1172.9345741112202,1375775.5151454697
15,2.7601294717147584,1162.6632277165204,1351785.781084197
20,2.780743878838338,1155.909481304107,1336126.7289687295
25,2.7331404321389208,1154.6043568687319,1333111.2209002578
35,2.737902855675886,1153.8296586118126,1331322.8810922522
50,2.742900146769075,1165.7645754152868,1359007.0452931838
75,2.750212264868911,1153.544643428643,1330665.2443829153
100,2.7379527618322097,1151.8752063494828,1326816.4910026635
150,2.9124341546434738,1214.2989285390393,1474521.8878510587
200,2.890243945040047,1216.0201604199838,1478705.030547843
